Id,Time,Sat_A_Save,Sat_B_Save,Sat_A_Effort,Sat_B_Effort,Sat_A_Coverage,Sat_B_Coverage,Sat_A_SkillUse,Sat_B_SkillUse,Sat_A_WorkloadBurndown,Sat_B_WorkloadBurndown,Zfearanxiety,Zanger,ZRMIE_sum,walk,teamid,teamplanning_condition,mapa_first,remove,zwalk,zgamingexperience,Zpre_knowledge,Zspatial_ability,filter_$
AE789,1,0,0,56,49,609,80,39,35,.0249,.0204,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,2,0,0,59,56,449,368,35,35,.0224,.0218,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,3,0,0,57,56,404,393,28,13,.0204,.0008,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,4,0,0,48,55,368,14,7,4,.0075,.0002,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,5,0,0,7,58,135,3,0,6,0,.0007,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,6,0,0,0,52,0,13,14,26,.008,.011,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,7,0,0,60,50,144,198,20,3,.0203,.0006,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,8,18,0,38,47,25,10,0,3,0,0,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,9,0,0,0,57,0,0,1,2,.0003,.0007,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,10,0,0,21,40,6,12,17,25,.0179,.0106,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,11,17,0,30,56,0,191,14,18,.0088,.0064,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,12,1,0,55,57,139,116,5,7,.0003,.0043,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,13,0,0,59,14,5,77,16,16,.0168,.003,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,14,16,0,57,40,0,54,38,18,.0375,.0023,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AE789,15,35,0,63,39,11,35,16,.0338,.0044, ,1.21217966397166,-.407747139783834,-.341478167466589,.34,147,1,0,0,-1.03484055346785,.643055159200649,-.00387904015325758,.507953959116979,1
AF209,1,0,0,55,54,48,117,39,39,.0208,.0298,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,2,0,0,55,56,375,536,23,36,.0052,.0216,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,3,0,0,47,57,94,389,12,19,.0052,.0171,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,4,0,0,41,26,93,307,49,1,.0309,.0003,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,5,0,0,59,1,556,6,12,24,.0029,.0031,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,6,0,0,57,55,53,55,5,8,.0011,.0084,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,7,0,8,60,59,19,0,26,47,.008,.0495,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,8,0,47,58,60,144,0,20,18,.0108,.0193,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,9,0,18,58,41,194,6,20,12,.0024,.0116,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,10,0,11,56,45,43,1,1,39,.0001,.0365,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,11,0,31,59,58,2,70,10,32,.0043,.0279,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,12,0,25,59,56,77,29,24,38,.0023,.037,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,13,0,26,58,57,41,174,12,13,0,.0077,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,14,0,0,52,53,0,138,22,29,.0015,.0333,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
AF209,15,0,9,60,63,27,12,19,.0027,.0065, ,.123952206240711,-.407747139783834,.147042200225827,.4,105,0,1,0,-.56471683400305,1.18158528036252,.775808030652281,-2.04390350515711,1
