condition,team_id,mapA_first,Map_order,Anxiety_average,team_score_SaturnA,walk_mean,team_effort_SaturnA,team_effort_SaturnB,team_effort_average,process_skill_use_agg_SatA,process_effort_agg_SatA,score_team_agg_SatB,process_skill_use_agg_SatB,process_effort_agg_SatB,skill_use_average,effort_average,skilluse1_SaturnA,skilluse2_SaturnA,skilluse3_SaturnA,skilluse4_SaturnA,skilluse5_SaturnA,skilluse6_SaturnA,skilluse7_SaturnA,skilluse8_SaturnA,skilluse9_SaturnA,skilluse10_SaturnA,skilluse11_SaturnA,skilluse12_SaturnA,skilluse13_SaturnA,skilluse14_SaturnA,skilluse15_SaturnA,skilluse1_SaturnB,skilluse2_SaturnB,skilluse3_SaturnB,skilluse4_SaturnB,skilluse5_SaturnB,skilluse6_SaturnB,skilluse7_SaturnB,skilluse8_SaturnB,skilluse9_SaturnB,skilluse10_SaturnB,skilluse11_SaturnB,skilluse12_SaturnB,skilluse13_SaturnB,skilluse14_SaturnB,skilluse15_SaturnB,effort1_SaturnA,effort2_SaturnA,effort3_SaturnA,effort4_SaturnA,effort5_SaturnA,effort6_SaturnA,effort7_SaturnA,effort8_SaturnA,effort9_SaturnA,effort10_SaturnA,effort11_SaturnA,effort12_SaturnA,effort13_SaturnA,effort14_SaturnA,effort15_SaturnA,effort1_SaturnB,effort2_SaturnB,effort3_SaturnB,effort4_SaturnB,effort5_SaturnB,effort6_SaturnB,effort7_SaturnB,effort8_SaturnB,effort9_SaturnB,effort10_SaturnB,effort11_SaturnB,effort12_SaturnB,effort13_SaturnB,effort14_SaturnB,effort15_SaturnB,workload_burnt1_SaturnA,workload_burnt2_SaturnA,workload_burnt3_SaturnA,workload_burnt4_SaturnA,workload_burnt5_SaturnA,workload_burnt6_SaturnA,workload_burnt7_SaturnA,workload_burnt8_SaturnA,workload_burnt9_SaturnA,workload_burnt10_SaturnA,workload_burnt11_SaturnA,workload_burnt12_SaturnA,workload_burnt13_SaturnA,workload_burnt14_SaturnA,workload_burnt15_SaturnA,workload_burnt1_SaturnB,workload_burnt2_SaturnB,workload_burnt3_SaturnB,workload_burnt4_SaturnB,workload_burnt5_SaturnB,workload_burnt6_SaturnB,workload_burnt7_SaturnB,workload_burnt8_SaturnB,workload_burnt9_SaturnB,workload_burnt10_SaturnB,workload_burnt11_SaturnB,workload_burnt12_SaturnB,workload_burnt13_SaturnB,workload_burnt14_SaturnB,workload_burnt15_SaturnB
1,TM000104,1,1,1.6667,460,0.42,8846.581961,8483.292639,8664.9373,0.376843658,0.840707965,550,0.481031308,0.850828729,0.428937483,0.840707965,0.025073746,0.065265487,0.101032448,0.123525074,0.15339233,0.178834808,0.206489676,0.230088496,0.263274336,0.283185841,0.286873156,0.292035398,0.324115044,0.347345133,0.376843658,0.029834254,0.066666667,0.095395948,0.121915285,0.148802947,0.173112339,0.212154696,0.254511971,0.283241252,0.315653775,0.346224678,0.37053407,0.402946593,0.450828729,0.481031308,0.053834808,0.111356932,0.166297935,0.220132743,0.282817109,0.341814159,0.399336283,0.454646018,0.514011799,0.562315634,0.604719764,0.649705015,0.709439528,0.772861357,0.840707965,0.060036832,0.116390424,0.174217311,0.226151013,0.286556169,0.349907919,0.411418048,0.451197053,0.514180479,0.569429098,0.630570902,0.683609576,0.728913444,0.791896869,0.850828729,0.0469,0.1297,0.1935,0.2439,0.3202,0.3655,0.4266,0.4754,0.5525,0.5985,0.6008,0.605,0.6765,0.7176,0.7837,0.0729,0.1646,0.2221,0.2735,0.3194,0.3685,0.4446,0.4919,0.5552,0.6111,0.6654,0.6912,0.7094,0.8195,0.8771
1,TM000153,0,2,1.3333,490,0.36,9261.116016,7858.233765,8559.674891,0.394979697,0.873385013,540,0.374632353,0.814705882,0.384806025,0.873385013,0.031746032,0.061646364,0.092284976,0.130306386,0.159099299,0.19121447,0.198597268,0.216685124,0.235880399,0.26762643,0.302694721,0.334440753,0.358065707,0.38353636,0.394979697,0.019852941,0.050735294,0.074264706,0.113970588,0.158823529,0.181617647,0.202205882,0.236397059,0.271323529,0.286029412,0.298161765,0.316544118,0.343382353,0.359191176,0.374632353,0.060908084,0.11590993,0.169804356,0.23145072,0.283868586,0.342561831,0.389442599,0.445921004,0.510151347,0.568106312,0.631598376,0.682170543,0.744555186,0.804724991,0.873385013,0.048529412,0.10625,0.161764706,0.219852941,0.279411765,0.340441176,0.392647059,0.453676471,0.509191176,0.568382353,0.624632353,0.654411765,0.707352941,0.759558824,0.814705882,0.071,0.1354,0.1937,0.2818,0.3491,0.4125,0.4235,0.4644,0.5023,0.5776,0.6412,0.7155,0.7681,0.8197,0.8378,0.0427,0.1016,0.1483,0.2569,0.3569,0.4073,0.4561,0.5275,0.596,0.6385,0.6575,0.6909,0.7535,0.785,0.8177
2,TM000101,0,2,1.5833,470,0.46,9338.422582,8500.434775,8919.428679,0.410766962,0.902654867,470,0.417618872,0.834869149,0.414192917,0.902654867,0.028013269,0.057869517,0.093623295,0.128271286,0.149281238,0.157021747,0.19240693,0.221894582,0.236638408,0.274972355,0.307408773,0.344636933,0.368227055,0.39402875,0.417618872,0.028761062,0.070058997,0.111725664,0.145280236,0.166666667,0.184734513,0.227138643,0.265855457,0.304572271,0.336651917,0.360250737,0.368362832,0.380162242,0.387168142,0.410766962,0.059712495,0.115001843,0.167711021,0.224474751,0.277183929,0.319203833,0.374861777,0.433468485,0.486546259,0.536306672,0.593807593,0.65167711,0.708072245,0.766678953,0.834869149,0.058259587,0.112094395,0.17219764,0.233775811,0.293510324,0.352876106,0.414085546,0.475294985,0.538716814,0.599557522,0.657079646,0.71939528,0.774705015,0.83480826,0.902654867,0.0556,0.1212,0.202,0.2799,0.3066,0.3254,0.3955,0.4529,0.4663,0.5369,0.6046,0.6766,0.709,0.7436,0.7591,0.0672,0.1432,0.2193,0.2662,0.2947,0.3287,0.4121,0.499,0.5934,0.6614,0.7102,0.7287,0.7591,0.7748,0.8257
2,TM000161,0,2,1.5833,470,0.41,8755.69466,8773.890619,8764.79264,0.393436578,0.880530973,480,0.406561003,0.874308883,0.399998791,0.880530973,0.020648968,0.051622419,0.072271386,0.103982301,0.127581121,0.139011799,0.171091445,0.214233038,0.248525074,0.262168142,0.274705015,0.309734513,0.340707965,0.367625369,0.393436578,0.032436417,0.074824917,0.106892739,0.142646517,0.171765573,0.183192038,0.217471434,0.246221895,0.278289716,0.293402138,0.318835238,0.352377442,0.374124585,0.392554368,0.406561003,0.055309735,0.114675516,0.172935103,0.227876106,0.275442478,0.338864307,0.400073746,0.462758112,0.523967552,0.575221239,0.627949853,0.692109145,0.752581121,0.81600295,0.880530973,0.0593439,0.120162182,0.170659786,0.222631773,0.282712864,0.33136749,0.391448581,0.449318098,0.513085146,0.575009215,0.636933284,0.695539993,0.75930704,0.819756727,0.874308883,0.0553,0.1223,0.1491,0.2101,0.2598,0.2826,0.359,0.4361,0.5067,0.5221,0.5494,0.613,0.6759,0.7414,0.7678,0.0653,0.1496,0.2453,0.305,0.3695,0.3873,0.4701,0.5212,0.5839,0.6035,0.6565,0.7159,0.762,0.7899,0.8143
2,TM000111,1,1,1.25,490,0.42,8857.067243,8436.611399,8646.839321,0.393950572,0.873109554,540,0.448518519,0.868148148,0.421234546,0.873109554,0.027296201,0.05016599,0.08520841,0.129472519,0.161932866,0.181482848,0.210254519,0.234599779,0.260420509,0.274806345,0.285503504,0.310217632,0.34710439,0.367023239,0.393950572,0.02962963,0.058148148,0.085555556,0.107037037,0.134074074,0.177407407,0.212592593,0.243333333,0.266666667,0.295555556,0.335555556,0.37037037,0.393703704,0.414814815,0.448518519,0.051641461,0.110291405,0.165990409,0.227960162,0.291036518,0.351161933,0.408336407,0.468461822,0.528587237,0.592770195,0.64994467,0.713021025,0.770933235,0.815566212,0.873109554,0.061851852,0.117407407,0.170740741,0.222222222,0.283333333,0.339259259,0.401111111,0.458888889,0.518518519,0.578888889,0.639259259,0.702592593,0.764444444,0.807777778,0.868148148,0.0573,0.0972,0.1507,0.2518,0.3049,0.3412,0.408,0.4546,0.5028,0.5264,0.5378,0.5997,0.6702,0.7055,0.7551,0.0763,0.1266,0.1742,0.2155,0.2624,0.3475,0.4176,0.4698,0.5012,0.5553,0.6392,0.6942,0.7338,0.7559,0.8192
1,TM000138,1,1,1.5,520,0.37,9677.601297,10228.25815,9952.929724,0.434734513,0.903023599,380,0.412089937,0.914485809,0.423412225,0.903023599,0.034660767,0.083333333,0.122418879,0.138274336,0.165929204,0.19579646,0.221238938,0.269174041,0.303097345,0.329646018,0.360988201,0.388643068,0.403761062,0.412241888,0.434734513,0.028381865,0.056395135,0.100626613,0.136380391,0.169553999,0.194249908,0.228160708,0.266863251,0.293402138,0.318466642,0.355326207,0.364909694,0.378916329,0.386288242,0.412089937,0.058628319,0.12020649,0.177728614,0.234144543,0.293879056,0.359513274,0.419247788,0.483038348,0.540929204,0.599188791,0.657079646,0.721238938,0.785029499,0.833702065,0.903023599,0.058238113,0.114264652,0.173239956,0.231846664,0.293033542,0.353851825,0.413195724,0.476225581,0.538518245,0.600073719,0.665683745,0.725764836,0.782528566,0.845927018,0.914485809,0.0677,0.1536,0.2229,0.2499,0.3086,0.375,0.4018,0.5218,0.5739,0.6253,0.675,0.7396,0.7765,0.7943,0.8319,0.0561,0.1206,0.2146,0.2479,0.2841,0.3131,0.3677,0.406,0.4443,0.4844,0.5887,0.6084,0.6465,0.6661,0.7332
2,TM000122,0,2,1.25,510,0.5,7913.753534,7312.444876,7613.099205,0.396017699,0.814528024,410,0.399776036,0.800298619,0.397896868,0.814528024,0.031342183,0.079277286,0.105088496,0.127212389,0.168141593,0.204277286,0.237831858,0.257374631,0.278023599,0.302359882,0.324115044,0.333333333,0.356932153,0.376843658,0.396017699,0.027622247,0.065322882,0.093691676,0.132512131,0.157894737,0.174692049,0.190369541,0.202314296,0.236282195,0.279581934,0.307950728,0.334826428,0.356849571,0.371033968,0.399776036,0.059234731,0.120309051,0.179175865,0.239146431,0.300220751,0.355408389,0.412803532,0.470566593,0.533848418,0.592347314,0.63723326,0.696835909,0.746872701,0.806843267,0.865710081,0.059646539,0.117083947,0.1634757,0.211340206,0.273932253,0.331369661,0.3910162,0.45287187,0.516568483,0.578792342,0.641384389,0.687407953,0.735272459,0.795287187,0.853460972,0.0681,0.1683,0.227,0.2769,0.3583,0.4386,0.498,0.5277,0.5758,0.6349,0.6665,0.6887,0.7495,0.7941,0.836,0.057,0.1271,0.176,0.2379,0.2909,0.321,0.336,0.352,0.4073,0.4781,0.5358,0.5907,0.6305,0.6675,0.7283
1,TM000113,0,2,1.0833,440,0.45,10165.74343,9301.826694,9733.785062,0.36527829,0.903059344,480,0.3857512,0.896271687,0.375514745,0.903059344,0.027276078,0.055657943,0.084408404,0.107261334,0.112053078,0.129745669,0.15849613,0.19572429,0.216734243,0.233321047,0.237375599,0.259122742,0.293402138,0.336896425,0.36527829,0.027316353,0.064599483,0.084902178,0.122185308,0.150609081,0.196382429,0.217423403,0.242155777,0.252860834,0.277224068,0.297526763,0.324843116,0.34588409,0.369509044,0.3857512,0.060818282,0.118319204,0.177294508,0.237007003,0.295982307,0.355326207,0.417250276,0.478437154,0.532620715,0.594544784,0.642830815,0.70844084,0.774050866,0.835237744,0.903059344,0.053525286,0.11664821,0.173126615,0.234403839,0.293466224,0.355112588,0.410852713,0.469915098,0.530084902,0.589147287,0.651162791,0.710594315,0.773348099,0.830195644,0.896271687,0.0819,0.1312,0.1896,0.2351,0.2363,0.2632,0.3233,0.3993,0.4408,0.472,0.4803,0.5338,0.6304,0.7439,0.8073,0.0642,0.1325,0.1773,0.2464,0.2886,0.3824,0.4171,0.4476,0.4717,0.5281,0.5735,0.6208,0.6527,0.6958,0.7289
1,TM000163,1,1,1,290,0.43,9497.630735,8474.552524,8986.09163,0.378687316,0.840339233,560,0.440515654,0.84198895,0.409601485,0.840339233,0.038348083,0.080383481,0.117256637,0.144542773,0.182153392,0.212389381,0.231563422,0.249262537,0.262905605,0.287979351,0.307153392,0.324483776,0.339233038,0.35140118,0.378687316,0.024677716,0.068139963,0.095027624,0.126335175,0.144751381,0.173480663,0.209208103,0.236095764,0.262615101,0.293186004,0.332228361,0.35985267,0.379742173,0.411418048,0.440515654,0.06120944,0.118362832,0.17699115,0.237831858,0.299410029,0.362463127,0.412979351,0.454646018,0.4929941,0.546828909,0.609882006,0.658923304,0.72160767,0.78060472,0.840339233,0.055248619,0.11160221,0.162799263,0.221362799,0.279926335,0.339594843,0.396685083,0.45267035,0.50718232,0.562062615,0.619152855,0.672928177,0.734438306,0.793370166,0.84198895,0.0715,0.127,0.1616,0.2341,0.2749,0.3283,0.374,0.4211,0.4392,0.4682,0.5101,0.5427,0.5655,0.5896,0.6502,0.06,0.1528,0.2009,0.2614,0.3059,0.3651,0.4346,0.4857,0.5282,0.5804,0.665,0.7211,0.7439,0.7996,0.8724
2,TM000119,1,1,1.5,460,0.41,9062.358657,8413.611399,8737.985028,0.392330383,0.890855457,480,0.400663472,0.838555105,0.396496928,0.890855457,0.029498525,0.069690265,0.099557522,0.110619469,0.139749263,0.171091445,0.210914454,0.220132743,0.230088496,0.255899705,0.276179941,0.314896755,0.353613569,0.366519174,0.392330383,0.038702543,0.071876152,0.107261334,0.149649834,0.196830077,0.219314412,0.242535938,0.258385551,0.275709547,0.296350903,0.315149281,0.34832289,0.373387394,0.389974198,0.400663472,0.05899705,0.119469027,0.178097345,0.225294985,0.285029499,0.34439528,0.404129794,0.459070796,0.517699115,0.581858407,0.646017699,0.704277286,0.765486726,0.821533923,0.890855457,0.058606708,0.120899373,0.180980464,0.234795429,0.284555842,0.33984519,0.403243642,0.462587541,0.516771102,0.572429045,0.628455584,0.683007741,0.739771471,0.794323627,0.838555105,0.0844,0.1417,0.1677,0.1808,0.2323,0.2889,0.3545,0.3655,0.3775,0.4202,0.4693,0.5603,0.6366,0.6587,0.7204,0.0674,0.1486,0.2271,0.3181,0.3966,0.4175,0.4673,0.4915,0.5276,0.5697,0.6105,0.6983,0.7424,0.7772,0.8015
