unique_id,person_id,video_id,start_t,end_t,action
17.2,17,2,0:0:25,0:0:30,"peel_cucumber_prep
"
17.2,17,2,0:0:25,0:4:15,"cut_and_mix_ingredients
"
17.2,17,2,0:0:30,0:0:46,"peel_cucumber_core
"
17.2,17,2,0:0:46,0:1:2,"peel_cucumber_post
"
17.2,17,2,0:1:8,0:1:14,"cut_cucumber_prep
"
17.2,17,2,0:1:14,0:1:58,"cut_cucumber_core
"
17.2,17,2,0:1:58,0:2:0,"cut_cucumber_post
"
17.2,17,2,0:2:1,0:2:4,"place_cucumber_into_bowl_prep
"
17.2,17,2,0:2:4,0:2:9,"place_cucumber_into_bowl_core
"
17.2,17,2,0:2:9,0:2:13,"place_cucumber_into_bowl_post
"
17.2,17,2,0:2:14,0:2:17,"cut_tomato_prep
"
17.2,17,2,0:2:17,0:2:35,"cut_tomato_core
"
17.2,17,2,0:2:35,0:2:38,"cut_tomato_post
"
17.2,17,2,0:2:38,0:2:42,"place_tomato_into_bowl_prep
"
17.2,17,2,0:2:42,0:2:44,"place_tomato_into_bowl_core
"
17.2,17,2,0:2:44,0:2:47,"place_tomato_into_bowl_post
"
17.2,17,2,0:2:47,0:3:7,"cut_cheese_prep
"
17.2,17,2,0:3:7,0:3:20,"cut_cheese_core
"
17.2,17,2,0:3:20,0:3:23,"cut_cheese_post
"
17.2,17,2,0:3:20,0:3:24,"place_cheese_into_bowl_prep
"
17.2,17,2,0:3:24,0:3:28,"place_cheese_into_bowl_core
"
17.2,17,2,0:3:28,0:3:29,"place_cheese_into_bowl_post
"
17.2,17,2,0:3:32,0:3:50,"cut_lettuce_prep
"
17.2,17,2,0:3:50,0:3:55,"cut_lettuce_core
"
17.2,17,2,0:3:55,0:3:55,"cut_lettuce_post
"
17.2,17,2,0:3:56,0:3:59,"place_lettuce_into_bowl_prep
"
17.2,17,2,0:3:59,0:4:0,"place_lettuce_into_bowl_core
"
17.2,17,2,0:4:0,0:4:4,"place_lettuce_into_bowl_post
"
17.2,17,2,0:4:7,0:4:8,"mix_ingredients_prep
"
17.2,17,2,0:4:8,0:4:14,"mix_ingredients_core
"
17.2,17,2,0:4:14,0:4:15,"mix_ingredients_post
"
17.2,17,2,0:4:22,0:4:33,"add_oil_prep
"
17.2,17,2,0:4:22,0:5:19,"prepare_dressing
"
17.2,17,2,0:4:33,0:4:36,"add_oil_core
"
17.2,17,2,0:4:36,0:4:39,"add_oil_post
"
17.2,17,2,0:4:39,0:4:41,"add_pepper_prep
"
17.2,17,2,0:4:41,0:4:44,"add_pepper_core
"
17.2,17,2,0:4:44,0:4:45,"add_pepper_post
"
17.2,17,2,0:4:46,0:4:49,"add_salt_prep
"
17.2,17,2,0:4:49,0:4:52,"add_salt_core
"
17.2,17,2,0:4:52,0:4:54,"add_salt_post
"
17.2,17,2,0:4:55,0:5:2,"add_vinegar_prep
"
17.2,17,2,0:5:2,0:5:5,"add_vinegar_core
"
17.2,17,2,0:5:5,0:5:10,"add_vinegar_post
"
17.2,17,2,0:5:11,0:5:12,"mix_dressing_prep
"
17.2,17,2,0:5:12,0:5:17,"mix_dressing_core
"
17.2,17,2,0:5:17,0:5:19,"mix_dressing_post
"
17.2,17,2,0:5:19,0:5:32,"serve_salad_onto_plate_prep
"
17.2,17,2,0:5:19,0:6:57,"serve_salad
"
17.2,17,2,0:5:32,0:5:39,"serve_salad_onto_plate_core
"
17.2,17,2,0:5:39,0:5:55,"serve_salad_onto_plate_post
"
17.2,17,2,0:5:55,0:5:56,"add_dressing_prep
"
17.2,17,2,0:5:56,0:6:35,"add_dressing_core
"
17.2,17,2,0:6:35,0:6:57,"add_dressing_post
"
20.2,20,2,0:14:48,0:14:55,"peel_cucumber_prep
"
20.2,20,2,0:14:48,0:16:59,"cut_and_mix_ingredients
"
20.2,20,2,0:14:55,0:15:13,"peel_cucumber_core
"
20.2,20,2,0:15:13,0:15:14,"peel_cucumber_post
"
20.2,20,2,0:15:14,0:15:17,"cut_cucumber_prep
"
20.2,20,2,0:15:17,0:15:20,"cut_cucumber_core
"
20.2,20,2,0:15:20,0:15:30,"cut_cucumber_post
"
20.2,20,2,0:15:30,0:15:31,"place_cucumber_into_bowl_prep
"
20.2,20,2,0:15:31,0:15:33,"place_cucumber_into_bowl_core
"
20.2,20,2,0:15:33,0:15:35,"place_cucumber_into_bowl_post
"
20.2,20,2,0:15:37,0:15:41,"cut_lettuce_prep
"
20.2,20,2,0:15:41,0:15:46,"cut_lettuce_core
"
20.2,20,2,0:15:46,0:15:47,"cut_lettuce_post
"
20.2,20,2,0:15:48,0:15:53,"place_lettuce_into_bowl_prep
"
20.2,20,2,0:15:53,0:15:54,"place_lettuce_into_bowl_core
"
20.2,20,2,0:15:54,0:15:57,"place_lettuce_into_bowl_post
"
20.2,20,2,0:15:59,0:16:0,"cut_tomato_prep
"
20.2,20,2,0:16:0,0:16:19,"cut_tomato_core
"
20.2,20,2,0:16:19,0:16:20,"cut_tomato_post
"
20.2,20,2,0:16:20,0:16:22,"place_tomato_into_bowl_prep
"
20.2,20,2,0:16:22,0:16:23,"place_tomato_into_bowl_core
"
20.2,20,2,0:16:23,0:16:25,"place_tomato_into_bowl_post
"
20.2,20,2,0:16:26,0:16:34,"cut_cheese_prep
"
20.2,20,2,0:16:34,0:16:47,"cut_cheese_core
"
20.2,20,2,0:16:47,0:16:48,"cut_cheese_post
"
20.2,20,2,0:16:48,0:16:49,"place_cheese_into_bowl_prep
"
20.2,20,2,0:16:49,0:16:49,"place_cheese_into_bowl_core
"
20.2,20,2,0:16:49,0:16:52,"place_cheese_into_bowl_post
"
20.2,20,2,0:16:52,0:16:54,"mix_ingredients_prep
"
20.2,20,2,0:16:54,0:16:58,"mix_ingredients_core
"
20.2,20,2,0:16:58,0:16:59,"mix_ingredients_post
"
20.2,20,2,0:17:1,0:17:5,"add_pepper_prep
"
20.2,20,2,0:17:1,0:17:40,"prepare_dressing
"
20.2,20,2,0:17:5,0:17:7,"add_pepper_core
"
20.2,20,2,0:17:7,0:17:9,"add_pepper_post
"
20.2,20,2,0:17:9,0:17:10,"add_salt_prep
"
20.2,20,2,0:17:10,0:17:11,"add_salt_core
"
20.2,20,2,0:17:11,0:17:12,"add_salt_post
"
20.2,20,2,0:17:13,0:17:14,"add_vinegar_prep
"
20.2,20,2,0:17:14,0:17:17,"add_vinegar_core
"
20.2,20,2,0:17:17,0:17:21,"add_vinegar_post
"
20.2,20,2,0:17:21,0:17:26,"add_oil_prep
"
20.2,20,2,0:17:26,0:17:28,"add_oil_core
"
20.2,20,2,0:17:28,0:17:31,"add_oil_post
"
20.2,20,2,0:17:32,0:17:34,"mix_dressing_prep
"
20.2,20,2,0:17:34,0:17:39,"mix_dressing_core
"
20.2,20,2,0:17:39,0:17:40,"mix_dressing_post
"
20.2,20,2,0:17:44,0:17:47,"add_dressing_prep
"
20.2,20,2,0:17:44,0:18:25,"serve_salad
"
20.2,20,2,0:17:47,0:18:0,"add_dressing_core
"
20.2,20,2,0:18:0,0:18:11,"add_dressing_post
"
20.2,20,2,0:18:12,0:18:15,"serve_salad_onto_plate_prep
"
20.2,20,2,0:18:15,0:18:20,"serve_salad_onto_plate_core
"
20.2,20,2,0:18:20,0:18:25,"serve_salad_onto_plate_post
"
24.2,24,2,0:0:19,0:0:32,"peel_cucumber_prep
"
24.2,24,2,0:0:19,0:2:35,"cut_and_mix_ingredients
"
24.2,24,2,0:0:32,0:0:45,"peel_cucumber_core
"
24.2,24,2,0:0:45,0:0:48,"peel_cucumber_post
"
24.2,24,2,0:0:49,0:0:51,"cut_cucumber_prep
"
24.2,24,2,0:0:51,0:1:4,"cut_cucumber_core
"
24.2,24,2,0:1:4,0:1:4,"cut_cucumber_post
"
24.2,24,2,0:1:4,0:1:6,"place_cucumber_into_bowl_prep
"
24.2,24,2,0:1:6,0:1:12,"place_cucumber_into_bowl_core
"
24.2,24,2,0:1:12,0:1:13,"place_cucumber_into_bowl_post
"
24.2,24,2,0:1:13,0:1:18,"cut_lettuce_prep
"
24.2,24,2,0:1:18,0:1:22,"cut_lettuce_core
"
24.2,24,2,0:1:22,0:1:23,"cut_lettuce_post
"
24.2,24,2,0:1:23,0:1:25,"place_lettuce_into_bowl_prep
"
24.2,24,2,0:1:25,0:1:26,"place_lettuce_into_bowl_core
"
24.2,24,2,0:1:26,0:1:27,"place_lettuce_into_bowl_post
"
24.2,24,2,0:1:27,0:1:30,"cut_tomato_prep
"
24.2,24,2,0:1:30,0:1:54,"cut_tomato_core
"
24.2,24,2,0:1:54,0:1:57,"cut_tomato_post
"
24.2,24,2,0:1:57,0:2:0,"place_tomato_into_bowl_prep
"
24.2,24,2,0:2:0,0:2:1,"place_tomato_into_bowl_core
"
24.2,24,2,0:2:1,0:2:2,"place_tomato_into_bowl_post
"
24.2,24,2,0:2:2,0:2:11,"cut_cheese_prep
"
24.2,24,2,0:2:11,0:2:22,"cut_cheese_core
"
24.2,24,2,0:2:22,0:2:23,"cut_cheese_post
"
24.2,24,2,0:2:23,0:2:24,"place_cheese_into_bowl_prep
"
24.2,24,2,0:2:24,0:2:25,"place_cheese_into_bowl_core
"
24.2,24,2,0:2:25,0:2:27,"place_cheese_into_bowl_post
"
24.2,24,2,0:2:27,0:2:29,"mix_ingredients_prep
"
24.2,24,2,0:2:29,0:2:33,"mix_ingredients_core
"
24.2,24,2,0:2:33,0:2:35,"mix_ingredients_post
"
24.2,24,2,0:2:37,0:3:29,"prepare_dressing
"
24.2,24,2,0:2:37,0:2:45,"add_vinegar_prep
"
24.2,24,2,0:2:45,0:2:48,"add_vinegar_core
"
24.2,24,2,0:2:48,0:2:54,"add_vinegar_post
"
24.2,24,2,0:2:54,0:2:59,"add_oil_prep
"
24.2,24,2,0:2:59,0:3:6,"add_oil_core
"
24.2,24,2,0:3:6,0:3:11,"add_oil_post
"
24.2,24,2,0:3:11,0:3:12,"mix_dressing_prep
"
24.2,24,2,0:3:12,0:3:13,"mix_dressing_core
"
24.2,24,2,0:3:13,0:3:13,"mix_dressing_post
"
24.2,24,2,0:3:13,0:3:15,"add_pepper_prep
"
24.2,24,2,0:3:15,0:3:17,"add_pepper_core
"
24.2,24,2,0:3:17,0:3:18,"add_pepper_post
"
24.2,24,2,0:3:19,0:3:21,"add_salt_prep
"
24.2,24,2,0:3:21,0:3:24,"add_salt_core
"
24.2,24,2,0:3:24,0:3:26,"add_salt_post
"
24.2,24,2,0:3:27,0:3:27,"mix_dressing_prep
"
24.2,24,2,0:3:27,0:3:29,"mix_dressing_core
"
24.2,24,2,0:3:29,0:3:29,"mix_dressing_post
"
24.2,24,2,0:3:30,0:3:35,"serve_salad_onto_plate_prep
"
24.2,24,2,0:3:30,0:3:51,"serve_salad
"
24.2,24,2,0:3:35,0:3:39,"serve_salad_onto_plate_core
"
24.2,24,2,0:3:39,0:3:41,"serve_salad_onto_plate_post
"
24.2,24,2,0:3:42,0:3:45,"add_dressing_prep
"
24.2,24,2,0:3:45,0:3:50,"add_dressing_core
"
24.2,24,2,0:3:50,0:3:51,"add_dressing_post
"
9.1,09,1,0:0:37,0:0:45,"cut_cheese_prep
"
9.1,09,1,0:0:37,0:4:21,"cut_and_mix_ingredients
"
9.1,09,1,0:0:45,0:1:5,"cut_cheese_core
"
9.1,09,1,0:1:5,0:1:10,"cut_cheese_post
"
9.1,09,1,0:1:10,0:1:19,"cut_lettuce_prep
"
9.1,09,1,0:1:19,0:1:31,"cut_lettuce_core
"
9.1,09,1,0:1:31,0:1:38,"cut_lettuce_post
"
9.1,09,1,0:1:38,0:1:38,"cut_cheese_prep
"
9.1,09,1,0:1:38,0:1:42,"cut_cheese_core
"
9.1,09,1,0:1:42,0:1:42,"cut_cheese_post
"
9.1,09,1,0:1:42,0:1:44,"place_cheese_into_bowl_prep
"
9.1,09,1,0:1:42,0:1:44,"place_lettuce_into_bowl_prep
"
9.1,09,1,0:1:44,0:1:45,"place_cheese_into_bowl_core
"
9.1,09,1,0:1:44,0:1:45,"place_lettuce_into_bowl_core
"
